preface,,
fitness,"# noun. 1. the state of being physically healthy and strong
– > a magazine on health and fitness
# 2. the state of being suitable or good enough for something
– > There were doubt about her fitness to hold office.
= > Every effort has been made to make this book as complete and as accurate as possible, but now warranty or fitness is implied.",
imply,"# verb. AW. 1. to suggest that something is true or that you feel or think something, without saying it directly 
– > Are you implying (that) I am wrong?
# 2. to make it seem likely that something is true or exists | synonym: suggest 
– > The fact that she was here implies a degree of interest.
# 3. (of in idea, action, etc) to make something necessary in order to be successful | synonym: mean
– > The project implies an enormous investment in training. ",
proofread,"# verb. to read and correct a piece of written or printed work
– > Has this document been proofread?
# proofreader (: noun)
– > to work as a proofreader for a publishing company
= > proofreader: Debra Neel.",
bachelor,"# 1. a man who has never been married
# 2. usually Bachelor: a person who has a Bachelor’s degree (= a first collage degree)
– > Bachelor of Arts / Engineering / Science
= > Mark received a bachelor of arts degree in computer science from Harvard in 1994.",
master,"# noun. 1. {of services} a man who has people working for him, often as servants in his house
– > They lived in fear of their master.
# 5. {university degree} (also master’s degree) a second university degree
– > He has a Master’s in Business Administration.",
doctor,"# noun. a person who has been trained in medical science, whose job is to treat people who are sick or injured
– > You would better see a doctor about that cough.
# 2. a person who has received that highest university degree
– > a Doctor of Philosophy / Law 
= > He obtained a doctor of philosophy degree from Stanford in 2000.",
expert,"# noun. AW. a person with special knowledge, skill or training in something
– > a computer / medical expert 
# adjective. down with, having, or involving great knowledge or skill
– > an expert driver
– > to seek expert advice / an expert opinion
# + adverb. expertly 
– > The music was expertly performed.",
presently,"# adverb. at the time you are speaking or writing; now | synonym: currently 
– > There are courses presently available. 
= > He presently works as an online producer for scifi.com.",
obsess,"# verb. [obsess something] to completely fill you mind so that you cannot think of anything else, in a way that is not normal
– > He is obsessed by computers.
# 2. [obsess (about something)] to be always taking or worrying about a particular thing, especially when this annoying other people
– > I think you should try to stop obsessing about food.
= > At home he runs Debian GNU/Linux and obsesses about such topics as system administration, security, software internationalization, and XML.",
entice,"# verb. to persuade someone or something to go somewhere or to do something, usually by offering them something | synonym: persuade 
– > The animals refused to be enticed from its hole.
– > Try to entice your son to eat by offering small portions of his favorite food.
= > This opportunity has enticed thousands of capable developers worldwide to contribute new components and improvement to GNU/Linux.",
rival,"# a person, company, or thing that compete with another in sports, business, etc
– > Japan was their biggest economic rival.
# adjective. a rival bid / claim / offer 
# verb. (l or ll) to be as good, impressive, etc as someone or something else | synonym: compare with
– > Golf cannot rival basketball for excitement. 
= > The modern GNU/Linux systems rival the features of any proprietary system and distributions.",
span,"# noun. 1. the length of time that something lasts or is able to continue 
– > The project must be completed within a specific time span.
# verb. to last all through a period of time or to cover the whole of it
– > His acting career spanned 55 years.",
sophisticate ,"# noun. a sophisticated person
– > She was not the sophisticated that Jack had imagined her to be",
sophisticated,"# adjective. 1. having a log of experience of the world and knowing about fashion, culture, and other things that people think are socially important 
– > Mark is a smart and sophisticated young man. 
# 2. (of a machine, system, etc) advanced and complicated in the way that it works or presented
– > highly sophisticated computer systems
= > GNU/Linux’s APIs provide access to sophisticated features such as interprocess communication, multi-treading and high performance networking.",
predate,"# (also antedate) verb. [predate something] to be built or formed, or to happen, at an earlier date then something else in the past | opposite: postdate 
– > Few of the town’s fine building predate the earthquake of 1755
= > A great deal of this software predate the Linux kernel.",
postdate,"# to happen, exist, or be made at a later date than something else in the past | opposite: predate ",
peculiar,"# adjective. 1. strange or unusual, especially in a way that is unpleasant or worrying | synonym: odd
– > a peculiar smell / taste 
– > For some peculiar reason, she refused to com inside.",
peculiarity ,"# noun. (plural: peculiarities) 1. a strange or unusual feature or habit
– > a physical peculiarity
# 2. a feature that only belongs to one particular person, thing, place, etc | synonym: characteristic 
– > the cultural peculiarities of Americans 
= > To develop GNU/Linux you need to know the peculiarities of the system, its limitations, additional capabilities, and conventions. ",
applicable,"# adjective. that can be said to be true in the case of someone or something | synonym: relevant
– > Much of the form was not applicable (= did not apply) to me.
= > The information in this book is equally applicable to C++ program.",
lingua franca ,"# noun. a shared language of communication used between people whose main languages are different 
– > English has become a lingua franca in many part of the world.
= > C languages APIs and conventions are the lingua franca of GNU/Linux.",
convention,"# noun. AW. 1. a large meeting of the members of a profession, a political party, etc | synonym: conference 
– > to hold a convention 
# 2. the way in which something is done that most people in society expect and consider or be polite or the right way to do it
– > social convention
– > By convention the co-chair was always a woman.
= > This book follows a few typographical convention.",
typography,"# noun. the art of work of preparing books, etc for printing, especially designing how text will appear when it is printed
# adjective form: typographical and typographic 
– > a typographical error
# adverb form: typographically ",
typo,# plural: typos. (informal) a small mistake in a typed or printed text.,
,,
Getting Started,# 1,
,,
accustom,"# phrasal verb. accustom yourself / someone to something: to make yourself/someone familiar with something or become used to it
– > It took him a while to accustom himself to the idea.",
accustomed,"# adjective. familiar with something and accepting it is normal or usual | synonym: used to
– > My eyes slowly grew accustomed to the dark.
– > This was not the kind of behavior I was accustomed to.
= > If you are already accustomed to programming under Linux, you can skip ahead to Chapter 2.",
versus,"# preposition. (abbreviation: v. or vs.) 1. (sports or law) used to show that two teams or sides are against each other 
– > It is Texas versus Nebraska in the championship game.
# 2. used to compare two different ideas, choice, etc
= > Pay careful attention to Section 2.3 “writing and using library”, for more information about static versus dynamic linking that you might not already know.",v
contrast,"# noun. AW. 1. a different between two or more people or things that you can see clearly when they are compared or put close together; the fact of comparing two or more things in order to show the differences between them
– > There is obvious contrast between the cultures East and West. 
= > We will occasionally point out similarities and contrast between Windows and Linux.",
affectionate,"# adjective. showing caring feeing and love for someone | synonym; loving 
– > He is very affectionate toward his children 
– > an affectionate kiss
# + adverb form: affectionately 
– > William was affectionately known as Billy.
= > Emacs (text editor) is affectionately known as the One True Program, or just OTP for short.",
acquaint,"# [acquaint someone/yourself with something]: (formal) to make someone/yourself familiar with or aware of something 
– > Please acquaint me with the fact of the case.
– > You will first need to acquaint yourself with the filing system.
= > If you want to get a little better acquainted with Emacs, choose the Emacs Tutorial entry on the help menu.",
ambition,"# [C] 1. something that you want to do to achieve very much
– > It had been her lifelong ambition",
ambitious,"# adjective. 1. determined to be successful, rich, powerful, etc
– > a fiercely ambitious young manager 
= > If you are ambitious, you can program Emacs to perform literally any kind of automatic formating you can imagine.",
manifest,"# formal, verb. [manifest something (in something)] to show something clearly, especially a feeling, an attitude, or a quality | synonym: demonstrate 
# 2. manifest itself (in something): to appear to become noticeable |  synonym: appear 
– > The symptoms of the disease manifested themselves ten days later.
= > Also, in certain instances, compiling with optimization can uncover bugs in your program that did not manifest themselves previously.
# adjective: formal, easy to see or understand ",
correspond,"# verb. AW. 1. to be the same as or match something | synonym: agree, tally
– > Your account and hers do not correspond. 
# 2. to be similar to or the same as something else | synonym: equivalent 
= > The British job of Lecturer corresponds roughly to the U.S. job of Associate Professor.
= > The object file should be rebuild whenever the corresponding source files change.",
convey,"# verb 1. to make ideas, feeling, etc known to someone | synonym: communicate 
– > Colors like read convey a sense of energy and strength.
= > You can convey all the information to make by putting the information in a file named Makefile.
# 2. (formal) to take, carry, or transport someone or something from one place to another 
– > Pipe convey hot water from the boiler to the radiators.",
trivial,"# adjective. not important; not worth considering 
– > a trivial detail
– > I know it sound trivial, but I am worried about it.
= > If you now change main.c in some trivial way and type make again, you will see the following…",
confirm,"# verb. AW. 1. to state or show that something is definitely true or correct, especially by providing evidence 
– > His guilty expression confirmed my suspicions.
= > The above command confirms that the problem is indeed a NULL pointer passed into atoi.",
denote,"# verb. formal. AW. to be sign of something | indicate 
– > A very high temperature often denote a serious illness.
# 2. to mean something | synonym: represent 
– > In this example X denotes the time taken and Y denotes the distance covered.
= > The number denote man page sections.",
reside,"# verb. AW. + adverb / preposition, formal. to live in a particular place
– > He returned to the US in 1939, having resided abroad for may years.
= > There header file reside in /usr/include and /usr/include/sys.",
verify,"# verb. 1. to check that something is true or accurate 
– > We have no way to verifying his story.
# 2. [verify something | verify that …] to show or say that something is true or accurate | synonym: confirm 
– > Her version of events was verified by neighbors. 
= > … take a look in the corresponding header file to verify that the function’s signature is the same as what is listed in the man page.",
inquire,"# (also enquire) verb. (somewhat formal) to ask someone for some information 
– > I called the school to inquire about the application process
# thesaurus: ask, inquire, demand ",
inquirer ,# a person who asks for information ,
inquiring,"# adjective. 1. showing an interesting in learning new things
– > a child with an inquiring mind
= > There header files make a good reading for inquiring minds.",
arbiter,"# [arbiter (of something)] a person with the power of influence to make judgment and decide what will be done or accepted
– > The law is the final arbiter of what is considered obscene
= > The final arbiter of how the system works in the system source code itself.",
entitle,"# verb. 1. to give someone the right to have or to do something 
– > You will be entitled to your pension when you reach 65.
= > … if not; you are entitled under the term of the GNU General Public License to request it from the distributer.
# 2. [entitle something + noun] to give a title to a book, play, etc
– > He read a poem entitled “Salt”.",
,,
nitty-gritty,"# [ the nitty-griity] [singular] (informal) the basic or most important details of an issue or a situation 
– > Time ran out before we could get down to the real nitty-gritty.
= > On Linux systems. a lot of the nitty-griity details of how the the system call work are referenced in header files in the directories /usr/include/bits, ….",
,,
chapter 2,"# Writing Good GNU/Linux Software, part 1",
,,
guide,"# noun. 1.{person} a person who shows other people the way to a place, especially someone employed to show tourists around interesting places 
– > a tour guide 
# verb. { show the way } 1. [guide someone] to show someone the way to a place, often by going when them; to show someone a place that you know well
– > She guided us through the busy streets to the cathedrad.",
guideline,"# noun. AW. 1. guidelines [plural] rules or instructions the are given by an official organization telling you how to do something, especially something difficult
– > The government has issued guidelines for controlling infection.
= > By following the guidelines presented, you will be able to write programs that work well within the GNU/Linux environment.
# 2. [C] something that can be used to help you make a decision or form an opinion 
– > The figures are a useful guideline when buying a house.",
originate,"# verb. formal. (+ adverb/preposition) to happen or appear for the first time in a particular place or situation 
– > The disease is thought to have originated in the tropics.
= > More generally, this is referred to as the program’s argument list because it need not originate form a shell command line.
# 2. to create something new
– > Locks originated this theory in the 17th century.
# +noun: originator 
– > Sir William James is thought to be the originator of fingerprinting as a means of identification.",
brief,"# adjective. ( briefer, briefest ). 1. lasting only a short time; short
– > a brief visit / meeting / conversation ",
briefly,"# adverb. AW. 1. for a short time
– > She saw John briefly on Friday night.
# 2. in a few words
– > Briefly, the argument is as follows…",
brevity,"# [U]. formal. 1. the quality of using few words when speaking or writing 
– > The report is a masterpiece of brevity 
= > Usually a program provides both a short option and a long option form for most options it supports, the former for brevity and the latter for clarity.",
clarity,"# [U]. noun. AW. 1. the quality of being expressed clearly
– > a lack of clarity in the law",
clarify,"# verb. AW. formal. 1. to make something clearer or easier to understand 
– > to clarify a situation / problem / issue ",
-fy or -ify,"# suffix (in verbs) to make or become
– > purify ",
tedious,"# adjective. lasting or taking too long and not interesting | synonym: boring 
– > We had to listen to the tedious details of his operation. 
= > Parsing command-line options is a tedious chore.
# thesaurus of boring: dull, tedious 
# boring: not interesting and making you feel tired and impatient 
# dull: not interesting or exciting: Life in a small town can be extremely dull.
# tedious: lasting or taking too long and not interesting, so that you feel bored and impatient 
# +adverb: tediously 
# +noun: tediousness [U]",
